title,url,date,tag,cover
"唱山歌的妹崽唱「美人画卷」也是可以的！/青山常伴绿水，燕雀已是南飞~",https://www.bilibili.com/video/BV1TWTx6MEgy/,07-03,翻唱,https://i0.hdslb.com/bfs/archive/80ac45dda123bbb1441fb683b888679a13519447.jpg@672w_378h_1c.avif
"说话声音对一个人颜值的影响很大吗？不觉得啊",https://www.bilibili.com/video/BV1tHTj6mEDB/,07-02,投稿,https://i0.hdslb.com/bfs/archive/b99329dde9908c438adac45ac7a658a3878a34d0.jpg@672w_378h_1c.avif
"广西表妹也来试试！《鸣潮》以声化雨净人间！⚡⚡玄方主题曲翻唱！《定玄》发现自己真的没有口音",https://www.bilibili.com/video/BV1sATw6eEDP/,06-30,翻唱,https://i0.hdslb.com/bfs/archive/677d7f66feb16917089a36a554b09345fe86a673.jpg@672w_378h_1c.avif
"#安泊猜想虚拟歌会·蝉雨杯#「前程似锦」许嵩新专辑/最喜欢这首了 速翻一下//你就放手飞吧，内心别多挣扎，可别像我。。。拘束平庸的活着啊！（cover：许嵩）",https://www.bilibili.com/video/BV1nVTP6vEZa/,06-28,翻唱,https://i0.hdslb.com/bfs/archive/0506a8f87f1f2c2cd29111e86a4323a23842dbcc.jpg@672w_378h_1c.avif
"女声丨一 生 要 强 的 爸爸，我 能 为 你 做 些 什 么 //今天唱《父亲》正合适",https://www.bilibili.com/video/BV1tDjp6sEYx/,06-21,翻唱,https://i0.hdslb.com/bfs/archive/1513f91e09615956084516c2056543053646d468.jpg@672w_378h_1c.avif
"但是他们好像更爱了。怎么办？？",https://www.bilibili.com/video/BV1wmEB68EBp/,06-12,投稿,https://i0.hdslb.com/bfs/archive/7da78fcd5ad7ec9e7ac52a794990dc8abf3f5177.jpg@672w_378h_1c.avif
"「橄榄树」为什么流浪。。为什么流浪远方~//为了我梦中的《橄榄树》",https://www.bilibili.com/video/BV1kFEo65EE2/,06-10,翻唱,https://i0.hdslb.com/bfs/archive/dc0bff78ce20f14fcee47eb70145946bcb38f28d.jpg@672w_378h_1c.avif
"还有人 听「神女劈观」吗？丨超！燃！戏腔 女声翻唱//发财笑和原批都乐疯了",https://www.bilibili.com/video/BV1eFV46NEDU/,05-29,翻唱,https://i0.hdslb.com/bfs/archive/ca888f4efbef817738dbf3f9583f60c8b1c87843.jpg@672w_378h_1c.avif
"他怎么人身攻击啊！！！！",https://www.bilibili.com/video/BV176Go6xEHw/,05-25,投稿,https://i0.hdslb.com/bfs/archive/18f99223ad5d85c23a8e90fbeaa782b19d25de4e.jpg@672w_378h_1c.avif
"别发底边自救视频了，能救你的永远只有你自己啊！",https://www.bilibili.com/video/BV1wsGR6ZEaQ/,05-25,投稿,https://i0.hdslb.com/bfs/archive/128059090bed34e060f83d0dc7707355f79c80fa.jpg@672w_378h_1c.avif
